"","IDN","ISBN","year","author","language","title","uniform.title","publisher","country","id"
"4","990044392180603392","9788492649310","2010","Zweig, Stefan","spa","¿Fue él?","War er es? <<span.>>","Barcelona","XA-ES","onb990044392180603392"
"9","990037624500603392","9788087053492","2010","Aichinger, Ilse","cze","(Vrabec v hrsti)","fail","Příbram","XA-CZ","onb990037624500603392"
"10","9958562479203338","9789187393525","2018","Haushofer, Marlen","swe","18 noveller","fail","Lund","XA-SE","onb9958562479203338"
"11","9958545361903338","9788075114228","2018","Brendel, Alfred","cze","2 x 2 = 13","fail","Praha","XA-CZ","onb9958545361903338"
"16","990047420810603392","9782226314819","2015","Werfel, Franz","fre","Les 40 jours du Musa Dagh","<<Die>> vierzig Tage des Musa Dagh","Paris","XA-FR","onb990047420810603392"
"18","990049978630603392","9782352879046","2016","Gruber, Andreas","fre","48 heures pour mourir","Todesfrist","Paris","XA-FR","onb990049978630603392"
"19","9958499269703338","9786053439554","2016","Gruber, Andreas","tur","48 saat","Todesfrist","İstanbul","XB-TR","onb9958499269703338"
"21","990047507710603392","9784151806513","2014","Poznanski, Ursula","jpn","5 no gēmu","Fünf","Tōkyō","XB-JP","onb990047507710603392"
"22","990051186230603392","9786059702065","2016","Poznanski, Ursula","tur","5","Fünf","İstanbul","XB-TR","onb990051186230603392"
"25","9959003603303338","9788412143058","2020","Kafka, Franz","cat","A la colònia penitenciària","In der Strafkolonie","Girona","XA-ES","onb9959003603303338"
"26","990050077420603392","9782914437288","2013","Altenberg, Peter","fre","À mots couverts, à demi-mot, au bas mot","fail","Clichy-la-Garenne","XA-FR","onb990050077420603392"
"28","9959014408203338","9788076900264","2022","Mayröcker, Friederike","cze","A zatřásla jsem miláč kem","Und ich schüttelte einen Liebling","Praha","XA-CZ","onb9959014408203338"
"29","9958808172603338","9789493186217","2020","Lavant, Christine","dut","Aantekeningen uit het gesticht","Aufzeichnungen aus einem Irrenhaus","[Bleiswijk]","XA-NL","onb9958808172603338"
"30","990038777400603392","9780983884200","2012","Kafka, Franz","eng","Abandoned fragments","Nachgelassene Schriften und Fragmente I","[Chicago, Ill. u.a.]","XD-US","onb990038777400603392"
"33","990050325470603392","9788416011421","2015","Roth, Joseph","spa","Abril","April","Barcelona","XA-ES","onb990050325470603392"
"34","9958837255203338","9782070720521","2020","Handke, Peter","fre","L' absence","<<Die>> Abwesenheit","Paris","XA-FR","onb9958837255203338"
"35","9958820973803338","9780374527631","2019","Handke, Peter","eng","Absence","<<Die>> Abwesenheit","New York","XD-US","onb9958820973803338"
"36","990049215850603392","9789056725518","2016","Meyerhoff, Joachim","dut","Ach, deze leegte, deze verschrikkelijke leegte","Ach, diese Lücke, diese entsetzliche Lücke","Amsterdam","XA-NL","onb990049215850603392"
"37","9958826774303338","9780374527648","2019","Handke, Peter","eng","Across","<<Der>> Chinese des Schmerzes","New York","XD-US","onb9958826774303338"
"43","990047083070603392","9788024923970","2014","Kubelka, Susanna","cze","Adieu, Vídni - bonjour, Paříži","Adieu Wien - bonjour Paris","Praha","XA-CZ","onb990047083070603392"
"44","9958941600703338","9786057040534","2021","Flašar, Milena Michiko","tur","Adini kravat koydum","Ich nannte ihn Krawatte","İstanbul","XB-TR","onb9958941600703338"
"45","990047235710603392","9789655528237","2014","Baronsky, Eva","heb","Adon Motsarṭ mitʿorer","Herr Mozart wacht auf <hebr., Iwrith>","Or Yehudah","XB-IL","onb990047235710603392"
"47","990044700180603392","9789171398727","2011","Dinev, Dimitré","swe","Änglatungor","Engelszungen","Lindome [u.a.]","XA-SE","onb990044700180603392"
"49","990037069740603392","9782918619000","2010","Wassermann, Jakob","fre","L' affabulateur","<<Der>> Aufruhr um den Junker Ernst","Strasbourg","fail","onb990037069740603392"
"50","9958573666703338","9788726007800","2018","Simmel, Johannes Mario","dan","Affæren Nina B.","Affäre Nina B.","[København]","XA-DK","onb9958573666703338"
"51","990038949540603392","9789542915065","2011","Gelich, Johannes","bul","Afrikanskijat prijatel","<<Der>> afrikanische Freund","Sofija","XA-BG","onb990038949540603392"
"52","9958884638603338","9789642091843","1400","Roth, Joseph","per","Afsāna-i maigusār-i qiddīs","Das falsche Gewicht","Tihrān","XB-IR","onb9958884638603338"
"53","9958826774203338","9781250767264","2020","Handke, Peter","eng","The afternoon of a writer","Nachmittag eines Schriftstellers","New York","XD-US","onb9958826774203338"
"54","9958815744603338","9781681373836","2020","Musil, Robert","eng","Agathe, or The forgotten sister","<<Der>> Mann ohne Eigenschaften","New York","XD-US","onb9958815744603338"
"56","990050853120603392","9788889767528","2014","Mall, Sepp","ita","Ai margini della ferita","Wundränder","Rovereto (Tn)","XA-IT","onb990050853120603392"
"58","9958026972803338","9786052980156","2017","Kafka, Franz","tur","Akbaba","fail","İstanbul","XB-TR","onb9958026972803338"
"59","990049800390603392","9788494164651","2014","Kofler, Werner","spa","Al escritorio","Am Schreibtisch","Barcelona","XA-ES","onb990049800390603392"
"60","990042353800603392","9789871556724","2011","Walser, Alissa","spa","Al principio la noche era música","Am Anfang war die Nacht Musik","Buenos Aires","XD-AR","onb990042353800603392"
"70","9958506574503338","9789542915928","2016","Dinev, Dimitré","bul","Alisa","Alice","Sofija","XA-BG","onb9958506574503338"
"73","990048761810603392","9788880575733","2014","Rabinovici, Doron","ita","Alla ricerca di M.","Suche nach M.","Firenze","XA-IT","onb990048761810603392"
"77","990045157340603392","9788880575061","2013","Rabinovici, Doron","ita","Altrove","Andernorts","Firenze","XA-IT","onb990045157340603392"
"80","9958807234003338","9788834603642","2020","Jelinek, Elfriede","ita","Le amanti","<<Die>> Liebhaberinnen","Milano","XA-IT","onb9958807234003338"
"81","990051183940603392","9788823509580","2017","Handke, Peter","ita","L'ambulante","<<Der>> Hausierer","Milano","XA-IT","onb990051183940603392"
"85","990048503830603392","9788415999010","2015","Kafka, Franz","spa","América","Amerika","Santa Perpetua de Mogoda, Barcelona","XA-ES","onb990048503830603392"
"86","990047233930603392","9788492728428","2013","Schnitzler, Arthur","spa","América y otros relatos","fail","Rubí (Barcelona)","XA-ES","onb990047233930603392"
"89","990047519350603392","9788702118506","2014","Kafka, Franz","dan","Amerika","<<Der>> Verschollene","[København]","XA-DK","onb990047519350603392"
"90","990050346870603392","9788652123131","2016","Kafka, Franz","srp","Amerika","<<Der>> Verschollene","Beograd","XA-SP","onb990050346870603392"
"91","990049539590603392","9788663690585","2015","Kafka, Franz","srp","Amerika","<<Der>> Verschollene","Beograd","XA-SP","onb990049539590603392"
"93","9958986005203338","9786057762641","2016","Kafka, Franz","tur","Amerika","<<Der>> Verschollene","İstanbul","XB-TR","onb9958986005203338"
"94","9958602980503338","9789177817642","2019","Kafka, Franz","swe","Amerika","Amerika","Stockholm","XA-SE","onb9958602980503338"
"95","9958301546203338","9788663690585","2016","Kafka, Franz","srp","Amerika","<<Der>> Verschollene","Beograd","XA-RS","onb9958301546203338"
"97","9958806379603338","9789941238277","2017","Kafka, Franz","geo","Amerika","<<Der>> Verschollene","T̕bilisi","XB-GE","onb9958806379603338"
